code_departement,tmja_moyen
01,33590.30952380953
02,21064.583333333332
03,11773.79411764706
04,6236.038461538462
05,10054.46
06,64113.230769230766
07,11141.07142857143
08,
09,12251.227272727272
10,15852.636363636364
11,48716.27272727273
12,12808.326086956522
13,67540.25974025975
14,35779.38888888889
15,8047.285714285715
16,19481.74358974359
17,23352.846153846152
18,19941.125
19,23310.571428571428
21,36131.07407407407
22,32745.272727272728
23,13575.636363636364
24,12844.5
25,19108.114285714284
26,19800.380116959066
27,21956.378787878788
28,31604.106666666667
29,25727.137931034482
30,29390.14285714286
31,53704.42857142857
32,10344.17857142857
33,56157.6129032258
34,38399.03571428572
35,52015.433333333334
36,22896.545454545456
37,22362.53846153846
38,36819.48387096774
39,11986.0
40,21435.91304347826
41,16305.96
42,35487.530303030304
43,10279.75
44,57221.28767123288
45,21702.82608695652
46,15592.857142857143
47,9466.125
48,6040.257142857143
49,35169.694444444445
50,21190.20588235294
51,19169.866666666665
52,12322.184210526315
53,11760.806451612903
54,49185.692307692305
55,12053.111111111111
56,45163.125
57,42402.01612903226
58,12205.166666666666
59,21715.75
60,42310.0
61,8071.846153846154
62,23824.03448275862
63,36121.833333333336
64,14849.17543859649
65,19493.0
66,7136.590361445783
67,60378.550458715596
68,31982.533333333333
69,42225.58260869565
70,11268.24
71,20911.196078431374
72,20683.05
73,34718.017857142855
74,33428.44
75,41672.0
76,25435.714285714286
77,43747.33707865168
78,51830.625
79,17118.217391304348
80,23103.166666666668
81,18561.75
82,46349.692307692305
83,44751.944444444445
84,23040.777777777777
85,19082.846153846152
86,19337.708333333332
87,25147.625
88,12366.0
89,14403.186046511628
90,21268.113636363636
91,64850.619047619046
92,73716.25
93,136675.44
94,113175.55555555556
95,87498.74074074074
